general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2836358593,2,Start,32,1,0,0,75qj99fhg5c0ztj2tva5u4uii,Angers SCO,SCO,home,,,0.0,0.0,1,2025-08-17T15:15:12.896Z,2025-08-17T19:02:47Z,75fp0z0nvmxwq7e93v82hludw,13,2025-08-17,17:15:00,1,2,45,Angers SCO vs Paris FC,Low Right: Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,,,match_admin,Gestión de partido / cambios / organización
2836358609,2,Start,32,1,0,0,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,,,0.0,0.0,1,2025-08-17T15:15:12.896Z,2025-08-17T15:15:13Z,75fp0z0nvmxwq7e93v82hludw,13,2025-08-17,17:15:00,1,2,45,Angers SCO vs Paris FC,Low Right: Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,,,match_admin,Gestión de partido / cambios / organización
2836358657,3,Pass,1,1,0,0,75qj99fhg5c0ztj2tva5u4uii,Angers SCO,SCO,home,f12l40tkknok5cqitoacfdsve,,50.3,49.9,1,2025-08-17T15:15:12.897Z,2025-08-17T19:09:56Z,75fp0z0nvmxwq7e93v82hludw,13,2025-08-17,17:15:00,1,2,45,Angers SCO vs Paris FC,Pass End X: 45.7; Crowd interaction: Back; Lay-off: 5.2; Pass End Y: 47.2; Inswinger: S; Launch: 3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,47.2,,,,,,,,5.2,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,,,possession,Posesión / circulación
2836358737,4,Pass,1,1,0,2,75qj99fhg5c0ztj2tva5u4uii,Angers SCO,SCO,home,dom1dzrvk7y4sd8puf8iztn11,,46.5,47.5,1,2025-08-17T15:15:15.473Z,2025-08-17T15:15:18Z,75fp0z0nvmxwq7e93v82hludw,13,2025-08-17,17:15:00,1,2,45,Angers SCO vs Paris FC,Launch: 2.17; Pass End Y: 78.8; Pass End X: 32.8; Lay-off: 25.7; Crowd interaction: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,78.8,,,,,,,,25.7,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,,,possession,Posesión / circulación
2836358813,5,Pass,1,1,0,5,75qj99fhg5c0ztj2tva5u4uii,Angers SCO,SCO,home,ar3g1flq7vgbl90q9t1v4y02d,,32.8,78.4,1,2025-08-17T15:15:18.641Z,2025-08-17T16:11:24Z,75fp0z0nvmxwq7e93v82hludw,13,2025-08-17,17:15:00,1,2,45,Angers SCO vs Paris FC,Launch: 0.02; Pass End X: 48.8; Pass End Y: 79.0; Lay-off: 16.8; Crowd interaction: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,79.0,,,,,,,,16.8,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,,,possession,Posesión / circulación
2836358839,6,Pass,1,1,0,8,75qj99fhg5c0ztj2tva5u4uii,Angers SCO,SCO,home,27u1slmp5wrly9oc6ju7ya87o,,43.2,81.8,1,2025-08-17T15:15:21.841Z,2025-08-17T15:15:23Z,75fp0z0nvmxwq7e93v82hludw,13,2025-08-17,17:15:00,1,2,45,Angers SCO vs Paris FC,Launch: 4.12; Lay-off: 26.9; Crowd interaction: Back; Pass End X: 28.8; Pass End Y: 49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,49.0,,,,,,,,26.9,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,,,possession,Posesión / circulación
2836358915,7,Pass,1,1,0,10,75qj99fhg5c0ztj2tva5u4uii,Angers SCO,SCO,home,99yx7t2j59cyia4bkpi59q1as,,29.5,49.9,1,2025-08-17T15:15:23.793Z,2025-08-17T15:15:27Z,75fp0z0nvmxwq7e93v82hludw,13,2025-08-17,17:15:00,1,2,45,Angers SCO vs Paris FC,Crowd interaction: Back; Launch: 5.75; Pass End X: 39.4; Pass End Y: 40.9; Lay-off: 12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,40.9,,,,,,,,12.1,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,,,possession,Posesión / circulación
2836358949,8,Pass,1,1,0,14,75qj99fhg5c0ztj2tva5u4uii,Angers SCO,SCO,home,dom1dzrvk7y4sd8puf8iztn11,,40.4,40.9,1,2025-08-17T15:15:27.553Z,2025-08-17T15:15:29Z,75fp0z0nvmxwq7e93v82hludw,13,2025-08-17,17:15:00,1,2,45,Angers SCO vs Paris FC,Lay-off: 17.5; Crowd interaction: Back; Launch: 4.06; Pass End X: 30.3; Pass End Y: 20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,20.4,,,,,,,,17.5,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,,,possession,Posesión / circulación
2836359005,9,Pass,1,1,0,16,75qj99fhg5c0ztj2tva5u4uii,Angers SCO,SCO,home,d3qx3gwypipcl2azrj9ing9ud,,30.6,20.4,0,2025-08-17T15:15:29.633Z,2025-08-17T16:11:36Z,75fp0z0nvmxwq7e93v82hludw,13,2025-08-17,17:15:00,1,2,45,Angers SCO vs Paris FC,Crowd interaction: Right; Pass End X: 74.8; Attacking Pass: Si; Launch: 6.17; Lay-off: 46.7; Long ball: Si; Pass End Y: 12.3,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8,12.3,,,,,,,,46.7,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,,,possession,Posesión / circulación
2836359007,3,Dispossessed,50,1,0,20,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,az310aeai2z9okj1ifvknnlzo,,16.5,90.2,1,2025-08-17T15:15:33.306Z,2025-08-17T15:40:24Z,75fp0z0nvmxwq7e93v82hludw,13,2025-08-17,17:15:00,1,2,45,Angers SCO vs Paris FC,Caught: 10; Crowd interaction: Back; Post match complete: Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,,,dribble_duel,Regates y duelos individuales
